hotel_id,hotel_name,city,country,star_rating,room_type,amenities,price_per_night_aud
HT-BNE-012,Mercure Brisbane,Brisbane,Australia,3,Junior Suite,"parking, pool, wifi, beach access, bar, breakfast included",255
HT-BNE-013,Hotel Brisbane Central,Brisbane,Australia,4.1,Twin Room,"gym, bar, restaurant, pool",402
HT-BNE-014,Hotel Brisbane Central East,Brisbane,Australia,3.7,Executive Suite,"breakfast included, rooftop terrace, beach access",350
HT-BNE-015,The Brisbane Boutique,Brisbane,Australia,4.5,Standard Double,"wifi, gym, parking, rooftop terrace",701
HT-BNE-016,Casa Brisbane II,Brisbane,Australia,3.3,Executive Suite,"restaurant, breakfast included, beach access, kids club, airport shuttle",415
HT-BNE-017,The Brisbane House,Brisbane,Australia,3.9,Standard Double,"wifi, bar, spa, rooftop terrace, restaurant, kids club",551
HT-BNE-018,The Old Town Inn Brisbane,Brisbane,Australia,4.5,Twin Room,"spa, gym, restaurant, airport shuttle, pool, breakfast included",717
HT-BNE-019,The Old Town Inn Brisbane II,Brisbane,Australia,4.1,Junior Suite,"wifi, bar, parking, beach access, restaurant, airport shuttle",534
HT-BNE-020,The Old Town Inn Brisbane II,Brisbane,Australia,4.6,Junior Suite,"wifi, pool, gym",474
HT-BNE-021,The Terrace Brisbane West,Brisbane,Australia,3.3,Junior Suite,"wifi, pool, parking",415
HT-BNE-022,Brisbane Garden Residence Riverside,Brisbane,Australia,3.4,Twin Room,"wifi, airport shuttle, parking, spa, breakfast included, gym",432
HT-BNE-023,The Terrace Brisbane Riverside,Brisbane,Australia,4.4,Executive Suite,"beach access, spa, gym, kids club, pool, restaurant",545
HT-BNE-024,Brisbane Harbour Suites East,Brisbane,Australia,2.6,Executive Suite,"parking, wifi, airport shuttle",207
HT-BNE-025,Brisbane Garden Residence East,Brisbane,Australia,2.7,Superior Queen,"bar, wifi, airport shuttle, spa, parking",216
HT-BNE-026,Hotel Brisbane Central II,Brisbane,Australia,4.1,Twin Room,"breakfast included, gym, pool, wifi",411
HT-BNE-027,Hotel Brisbane Central Riverside,Brisbane,Australia,3.1,Twin Room,"breakfast included, spa, kids club",364
HT-BNE-028,The Grand Brisbane Hotel,Brisbane,Australia,3.2,Junior Suite,"rooftop terrace, kids club, wifi, pool, spa, gym",301
HT-BNE-029,The Old Town Inn Brisbane West,Brisbane,Australia,2.6,Standard Double,"airport shuttle, kids club, wifi",234
HT-BNE-030,Brisbane Garden Residence East,Brisbane,Australia,2.8,Executive Suite,"gym, parking, rooftop terrace, bar, restaurant, kids club",266
HT-PER-001,Hilton Perth,Perth,Australia,5,Twin Room,"restaurant, gym, rooftop terrace",725
HT-PER-002,Marriott Perth,Perth,Australia,4.9,Junior Suite,"rooftop terrace, restaurant, bar",835
HT-PER-003,Hyatt Regency Perth,Perth,Australia,4.7,Deluxe King,"gym, wifi, kids club, airport shuttle, bar, beach access",523
HT-PER-004,InterContinental Perth,Perth,Australia,4.8,Standard Double,"restaurant, spa, beach access, gym, rooftop terrace, parking",511
HT-PER-005,Shangri-La Perth,Perth,Australia,4.6,Standard Double,"airport shuttle, wifi, beach access, parking, gym",694
HT-PER-006,Four Seasons Perth,Perth,Australia,4.6,Standard Double,"parking, airport shuttle, rooftop terrace, beach access, wifi",526
HT-PER-007,The Perth House,Perth,Australia,3.1,Superior Queen,"beach access, parking, kids club",293
HT-PER-008,Casa Perth,Perth,Australia,3,Executive Suite,"airport shuttle, wifi, parking",241
HT-PER-009,Radisson Blu Perth,Perth,Australia,4.1,Standard Double,"gym, airport shuttle, parking, pool, rooftop terrace",548
HT-PER-010,Novotel Perth,Perth,Australia,4.1,Superior Queen,"gym, pool, breakfast included",487
HT-PER-011,The Perth House Annex,Perth,Australia,3.8,Twin Room,"wifi, restaurant, bar, beach access, pool, airport shuttle",370
HT-PER-012,Perth Garden Residence,Perth,Australia,3,Standard Double,"pool, rooftop terrace, beach access, airport shuttle",298
HT-PER-013,ibis Perth,Perth,Australia,2.3,Superior Queen,"restaurant, gym, airport shuttle",173
HT-PER-014,The Terrace Perth,Perth,Australia,4.8,Junior Suite,"spa, parking, beach access, rooftop terrace, pool",667
HT-PER-015,Travelodge Perth,Perth,Australia,2.4,Deluxe King,"restaurant, airport shuttle, wifi, rooftop terrace, pool",181
HT-PER-016,Perth Garden Residence West,Perth,Australia,4.8,Superior Queen,"airport shuttle, wifi, kids club, restaurant, pool",530
HT-PER-017,Casa Perth Riverside,Perth,Australia,3.4,Family Room,"restaurant, bar, parking, kids club, spa, gym",315
HT-PER-018,Perth Garden Residence Annex,Perth,Australia,3.2,Executive Suite,"wifi, rooftop terrace, beach access, pool, gym, kids club",339
HT-PER-019,The Grand Perth Hotel,Perth,Australia,4.2,Twin Room,"bar, spa, wifi, kids club, parking",478
HT-PER-020,Hotel Perth Central,Perth,Australia,2.6,Superior Queen,"beach access, wifi, kids club",209
HT-PER-021,Casa Perth Riverside,Perth,Australia,4.9,Executive Suite,"beach access, gym, spa, bar, rooftop terrace, breakfast included",647
HT-PER-022,Perth Harbour Suites,Perth,Australia,3.2,Deluxe King,"spa, beach access, kids club, wifi, breakfast included",282
HT-PER-023,Hotel Perth Central East,Perth,Australia,2.6,Twin Room,"kids club, wifi, pool, parking",216
HT-PER-024,Perth Harbour Suites West,Perth,Australia,3.7,Superior Queen,"spa, bar, airport shuttle, restaurant",377
HT-PER-025,Hotel Perth Central II,Perth,Australia,5,Twin Room,"spa, pool, parking, rooftop terrace, kids club, breakfast included",792
HT-PER-026,Hotel Perth Central Riverside,Perth,Australia,4.6,Family Room,"bar, gym, spa, rooftop terrace",468
HT-PER-027,Perth Garden Residence II,Perth,Australia,3.8,Superior Queen,"pool, breakfast included, bar, gym, airport shuttle",536
HT-PER-028,The Old Town Inn Perth,Perth,Australia,5,Twin Room,"gym, pool, bar, spa, rooftop terrace, parking",718
HT-PER-029,The Old Town Inn Perth Riverside,Perth,Australia,2.8,Junior Suite,"spa, beach access, pool, rooftop terrace",327
HT-PER-030,Perth Harbour Suites West,Perth,Australia,3,Twin Room,"beach access, airport shuttle, spa, rooftop terrace, wifi",355
HT-CNS-001,Hilton Cairns,Cairns,Australia,4.9,Standard Double,"bar, rooftop terrace, kids club, wifi, pool, airport shuttle",541
HT-CNS-002,Hotel Cairns Central,Cairns,Australia,3.3,Deluxe King,"pool, wifi, parking",246
HT-CNS-003,The Grand Cairns Hotel,Cairns,Australia,4.6,Executive Suite,"airport shuttle, breakfast included, kids club, parking, bar",552
HT-CNS-004,InterContinental Cairns,Cairns,Australia,4.6,Executive Suite,"wifi, pool, gym, breakfast included, beach access",552
HT-CNS-005,The Cairns House,Cairns,Australia,4.5,Twin Room,"spa, airport shuttle, restaurant",612
HT-CNS-006,Four Seasons Cairns,Cairns,Australia,4.5,Executive Suite,"spa, airport shuttle, gym, pool",495
HT-CNS-007,Hotel Cairns Central Annex,Cairns,Australia,2.9,Junior Suite,"wifi, airport shuttle, parking, restaurant, pool, beach access",216
HT-CNS-008,Crowne Plaza Cairns,Cairns,Australia,4.1,Superior Queen,"rooftop terrace, beach access, pool",554
HT-CNS-009,Radisson Blu Cairns,Cairns,Australia,3.7,Twin Room,"beach access, wifi, pool, gym, rooftop terrace, parking",311
HT-CNS-010,Cairns Harbour Suites,Cairns,Australia,2.9,Superior Queen,"bar, breakfast included, kids club, restaurant, airport shuttle, parking",228
HT-CNS-011,Holiday Inn Cairns,Cairns,Australia,3.5,Junior Suite,"gym, wifi, parking, airport shuttle, spa",418
HT-CNS-012,Mercure Cairns,Cairns,Australia,3.8,Family Room,"bar, pool, spa, parking",431
HT-CNS-013,ibis Cairns,Cairns,Australia,2.8,Twin Room,"airport shuttle, wifi, pool, gym, parking, spa",298
HT-CNS-014,ibis Styles Cairns,Cairns,Australia,2.9,Executive Suite,"wifi, pool, beach access, gym, breakfast included",247
HT-CNS-015,Casa Cairns,Cairns,Australia,3.3,Standard Double,"pool, rooftop terrace, wifi, parking, breakfast included",383
HT-CNS-016,The Cairns House Riverside,Cairns,Australia,4,Twin Room,"pool, gym, kids club",412
HT-CNS-017,The Grand Cairns Hotel Annex,Cairns,Australia,3.8,Twin Room,"restaurant, kids club, pool, wifi, rooftop terrace, gym",385
HT-CNS-018,The Old Town Inn Cairns,Cairns,Australia,2.7,Twin Room,"parking, airport shuttle, rooftop terrace, restaurant",273
HT-CNS-019,The Cairns Boutique,Cairns,Australia,4,Deluxe King,"wifi, kids club, pool",519
HT-CNS-020,Casa Cairns East,Cairns,Australia,4.4,Junior Suite,"breakfast included, bar, kids club, beach access",539
HT-CNS-021,Casa Cairns West,Cairns,Australia,2.6,Twin Room,"restaurant, spa, beach access, gym, breakfast included, airport shuttle",205
HT-CNS-022,The Cairns House West,Cairns,Australia,3.2,Superior Queen,"spa, wifi, airport shuttle, kids club, beach access, rooftop terrace",328
HT-CNS-023,Casa Cairns Riverside,Cairns,Australia,4,Executive Suite,"airport shuttle, wifi, rooftop terrace",363
HT-CNS-024,Casa Cairns II,Cairns,Australia,4.9,Standard Double,"airport shuttle, restaurant, bar, beach access, gym",606
HT-CNS-025,The Old Town Inn Cairns East,Cairns,Australia,3.7,Deluxe King,"pool, kids club, wifi, spa",347
HT-CNS-026,Villa Cairns,Cairns,Australia,4.9,Executive Suite,"airport shuttle, beach access, restaurant",688
HT-CNS-027,Villa Cairns East,Cairns,Australia,3,Twin Room,"parking, wifi, breakfast included, kids club, spa",240
HT-CNS-028,Hotel Cairns Central East,Cairns,Australia,4.6,Twin Room,"parking, spa, airport shuttle, wifi, rooftop terrace",631
HT-CNS-029,Cairns Garden Residence,Cairns,Australia,4.4,Family Room,"breakfast included, wifi, beach access, rooftop terrace, restaurant, kids club",432
HT-CNS-030,The Terrace Cairns,Cairns,Australia,3.7,Standard Double,"wifi, restaurant, bar, airport shuttle, breakfast included, beach access",293
HT-CNS-031,The Old Town Inn Cairns II,Cairns,Australia,3.6,Superior Queen,"restaurant, breakfast included, pool, parking, kids club",328
HT-CNS-032,The Grand Cairns Hotel Annex,Cairns,Australia,4.5,Twin Room,"wifi, airport shuttle, parking, pool, restaurant",526
HT-CNS-033,Cairns Garden Residence West,Cairns,Australia,2.7,Superior Queen,"bar, restaurant, kids club",185
HT-CNS-034,Casa Cairns East,Cairns,Australia,4.8,Standard Double,"restaurant, pool, wifi, rooftop terrace",505
HT-CNS-035,The Terrace Cairns Riverside,Cairns,Australia,4.6,Standard Double,"parking, pool, gym, spa, rooftop terrace",573
HT-CNS-036,The Cairns House West,Cairns,Australia,3.3,Family Room,"airport shuttle, spa, kids club, beach access",300
HT-AKL-001,Hilton Auckland,Auckland,New Zealand,4.8,Junior Suite,"wifi, spa, beach access",505
HT-AKL-002,The Grand Auckland Hotel,Auckland,New Zealand,4.4,Deluxe King,"restaurant, wifi, beach access, pool",481
HT-AKL-003,Hyatt Regency Auckland,Auckland,New Zealand,4.6,Superior Queen,"rooftop terrace, restaurant, airport shuttle",561
HT-AKL-004,The Terrace Auckland,Auckland,New Zealand,3,Executive Suite,"wifi, parking, airport shuttle, rooftop terrace, breakfast included, restaurant",318
HT-AKL-005,Auckland Harbour Suites,Auckland,New Zealand,3.7,Junior Suite,"rooftop terrace, restaurant, airport shuttle",358
HT-AKL-006,Four Seasons Auckland,Auckland,New Zealand,4.8,Family Room,"breakfast included, beach access, restaurant, rooftop terrace, wifi, pool",705
HT-AKL-007,Hotel Auckland Central,Auckland,New Zealand,2.6,Family Room,"pool, rooftop terrace, kids club, breakfast included, beach access",282
HT-AKL-008,The Auckland Boutique,Auckland,New Zealand,2.9,Deluxe King,"parking, gym, spa, breakfast included, pool, wifi",296
HT-AKL-009,Radisson Blu Auckland,Auckland,New Zealand,4.4,Standard Double,"restaurant, airport shuttle, rooftop terrace",652
HT-AKL-010,Auckland Harbour Suites East,Auckland,New Zealand,2.9,Family Room,"bar, wifi, rooftop terrace",234
HT-AKL-011,Holiday Inn Auckland,Auckland,New Zealand,3.4,Deluxe King,"airport shuttle, wifi, beach access, spa, rooftop terrace",384
HT-AKL-012,Villa Auckland,Auckland,New Zealand,4.8,Family Room,"airport shuttle, wifi, beach access, pool, bar",798
HT-AKL-013,ibis Auckland,Auckland,New Zealand,2.9,Executive Suite,"gym, restaurant, wifi, pool, spa, airport shuttle",315
HT-AKL-014,ibis Styles Auckland,Auckland,New Zealand,2.4,Deluxe King,"kids club, beach access, parking",181
HT-AKL-015,Travelodge Auckland,Auckland,New Zealand,2.4,Deluxe King,"rooftop terrace, airport shuttle, pool, parking, restaurant, kids club",236
HT-AKL-016,The Auckland Boutique Riverside,Auckland,New Zealand,3.9,Standard Double,"rooftop terrace, gym, beach access",547
HT-AKL-017,Villa Auckland West,Auckland,New Zealand,2.8,Family Room,"restaurant, wifi, pool, beach access, rooftop terrace",276
HT-AKL-018,Casa Auckland,Auckland,New Zealand,2.7,Standard Double,"wifi, pool, kids club, gym, spa, breakfast included",255
HT-AKL-019,The Old Town Inn Auckland,Auckland,New Zealand,4.8,Twin Room,"beach access, gym, pool",543
HT-AKL-020,The Auckland Boutique Annex,Auckland,New Zealand,2.9,Deluxe King,"bar, spa, pool, gym",251
HT-AKL-021,The Grand Auckland Hotel West,Auckland,New Zealand,3,Family Room,"kids club, gym, beach access, restaurant, airport shuttle, parking",264
HT-AKL-022,The Terrace Auckland Annex,Auckland,New Zealand,2.7,Twin Room,"spa, restaurant, airport shuttle, rooftop terrace",211
HT-AKL-023,Hotel Auckland Central Annex,Auckland,New Zealand,2.7,Executive Suite,"wifi, airport shuttle, breakfast included, pool, gym, restaurant",247
HT-AKL-024,Hotel Auckland Central West,Auckland,New Zealand,3.8,Deluxe King,"wifi, pool, parking, breakfast included, gym, airport shuttle",474
HT-AKL-025,Auckland Harbour Suites Riverside,Auckland,New Zealand,4.2,Superior Queen,"airport shuttle, pool, restaurant, rooftop terrace, bar, kids club",522
HT-AKL-026,Casa Auckland West,Auckland,New Zealand,4.3,Deluxe King,"beach access, bar, spa, gym, breakfast included",657
HT-AKL-027,The Auckland Boutique West,Auckland,New Zealand,4.7,Standard Double,"rooftop terrace, restaurant, pool, wifi",595
HT-AKL-028,Hotel Auckland Central Riverside,Auckland,New Zealand,3.8,Executive Suite,"wifi, gym, rooftop terrace",494
HT-AKL-029,The Grand Auckland Hotel Annex,Auckland,New Zealand,3.5,Executive Suite,"bar, breakfast included, parking, spa",442
HT-AKL-030,The Old Town Inn Auckland West,Auckland,New Zealand,2.7,Deluxe King,"wifi, pool, gym, spa, breakfast included, bar",279
HT-AKL-031,The Old Town Inn Auckland II,Auckland,New Zealand,3.4,Family Room,"breakfast included, rooftop terrace, restaurant",342
HT-AKL-032,The Auckland Boutique Riverside,Auckland,New Zealand,3.7,Standard Double,"gym, beach access, wifi, kids club, bar",358
HT-AKL-033,Casa Auckland East,Auckland,New Zealand,4.3,Deluxe King,"wifi, pool, airport shuttle, beach access",565
HT-ZQN-001,The Grand Queenstown Hotel,Queenstown,New Zealand,2.7,Standard Double,"parking, beach access, kids club",304
HT-ZQN-002,Marriott Queenstown,Queenstown,New Zealand,4.9,Superior Queen,"restaurant, airport shuttle, wifi, parking",771
HT-ZQN-003,Hyatt Regency Queenstown,Queenstown,New Zealand,4.5,Twin Room,"gym, pool, beach access, rooftop terrace, kids club",558
HT-ZQN-004,Queenstown Garden Residence,Queenstown,New Zealand,4.5,Twin Room,"spa, pool, bar",593
HT-ZQN-005,The Queenstown House,Queenstown,New Zealand,2.9,Superior Queen,"beach access, parking, breakfast included",262
HT-ZQN-006,Four Seasons Queenstown,Queenstown,New Zealand,4.6,Twin Room,"bar, gym, restaurant",604
HT-ZQN-007,Sheraton Queenstown,Queenstown,New Zealand,4.1,Standard Double,"pool, gym, bar, spa, beach access",460
HT-ZQN-008,Crowne Plaza Queenstown,Queenstown,New Zealand,3.9,Executive Suite,"airport shuttle, restaurant, bar, kids club",486
HT-ZQN-009,Hotel Queenstown Central,Queenstown,New Zealand,3.2,Deluxe King,"wifi, parking, pool, bar",302
HT-ZQN-010,Novotel Queenstown,Queenstown,New Zealand,3.9,Junior Suite,"airport shuttle, wifi, rooftop terrace, restaurant, pool, breakfast included",377
HT-ZQN-011,Holiday Inn Queenstown,Queenstown,New Zealand,3.2,Executive Suite,"wifi, spa, beach access",331
HT-ZQN-012,Mercure Queenstown,Queenstown,New Zealand,3.6,Twin Room,"wifi, pool, rooftop terrace, beach access, gym",429
HT-ZQN-013,ibis Queenstown,Queenstown,New Zealand,2.3,Superior Queen,"spa, gym, rooftop terrace, bar, airport shuttle, pool",203
HT-ZQN-014,ibis Styles Queenstown,Queenstown,New Zealand,2.5,Executive Suite,"kids club, gym, breakfast included",236
HT-ZQN-015,Travelodge Queenstown,Queenstown,New Zealand,2.3,Superior Queen,"wifi, pool, gym, beach access, spa, breakfast included",185
HT-ZQN-016,The Terrace Queenstown,Queenstown,New Zealand,4.6,Twin Room,"beach access, rooftop terrace, wifi, kids club",586
HT-ZQN-017,The Grand Queenstown Hotel Annex,Queenstown,New Zealand,4.7,Executive Suite,"wifi, airport shuttle, pool, breakfast included, rooftop terrace",653
HT-ZQN-018,The Old Town Inn Queenstown,Queenstown,New Zealand,4.3,Superior Queen,"kids club, beach access, parking, rooftop terrace, spa, restaurant",639
HT-ZQN-019,The Queenstown Boutique,Queenstown,New Zealand,2.7,Twin Room,"gym, bar, kids club",238
HT-ZQN-020,The Old Town Inn Queenstown Riverside,Queenstown,New Zealand,4.2,Standard Double,"pool, spa, gym, bar, wifi, rooftop terrace",531
HT-ZQN-021,The Old Town Inn Queenstown Annex,Queenstown,New Zealand,2.9,Family Room,"pool, wifi, kids club, breakfast included, parking",332
